chr,Symbol
chr1,Gm15670
chr1,Gm15671
chr1,Gm15674
chr1,Gm15675
chr1,Gm15699
chr1,Gm15702
chr1,Gm15759
chr1,Gm15789
chr1,Gm15790
chr1,Gm15793
chr1,Gm15795
chr1,Gm15818
chr1,Gm15825
chr1,Gm15826
chr1,Gm15832
chr1,Gm15833
chr1,Gm15834
chr1,Gm15838
chr1,Gm15841
chr1,Gm15843
chr1,Gm15848
chr1,Gm15849
chr1,Gm15850
chr1,Gm15851
chr1,Gm15852
chr1,Gm15853
chr1,Gm15867
chr1,Gm15872
chr1,Gm16025
chr1,Gm16026
chr1,Gm16028
chr1,Gm16038
chr1,Gm16041
chr1,Gm16070
chr1,Gm16076
chr1,Gm16081
chr1,Gm16083
chr1,Gm16088
chr1,Gm16092
chr1,Gm16094
chr1,Gm16101
chr1,Gm16102
chr1,Gm16103
chr1,Gm16107
chr1,Gm16150
chr1,Gm16151
chr1,Gm16152
chr1,Gm16236
chr1,Gm16284
chr1,Gm16304
chr1,Gm16305
chr1,Gm16327
chr1,Gm16328
chr1,Gm16329
chr1,Gm16332
chr1,Gm16340
chr1,Gm16341
chr1,Gm16418
chr1,Gm16432
chr1,Gm16533
chr1,Gm16539
chr1,Gm16547
chr1,Gm16548
chr1,Gm16550
chr1,Gm16564
chr1,Gm16565
chr1,Gm16581
chr1,Gm16582
chr1,Gm16585
chr1,Gm16586
chr1,Gm16587
chr1,Gm16588
chr1,Gm16701
chr1,Gm16880
chr1,Gm16894
chr1,Gm16897
chr1,Gm17017
chr1,Gm17090
chr1,Gm17100
chr1,Gm17101
chr1,Gm17181
chr1,Gm17224
chr1,Gm17234
chr1,Gm17275
chr1,Gm17415
chr1,Gm17634
chr1,Gm17644
chr1,Gm17973
chr1,Gm17976
chr1,Gm18828
chr1,Gm19705
chr1,Gm19965
chr1,Gm20428
chr1,Gm20471
chr1,Gm20528
chr1,Gm20631
chr1,Gm20646
chr1,Gm20711
chr1,Gm21909
chr1,Gm21972
chr1,Gm22016
chr1,Gm22034
chr1,Gm22089
chr1,Gm22094
chr1,Gm22112
chr1,Gm22114
chr1,Gm22132
chr1,Gm22159
chr1,Gm22232
chr1,Gm22260
chr1,Gm22265
chr1,Gm22281
chr1,Gm22307
chr1,Gm22331
chr1,Gm22357
chr1,Gm22360
chr1,Gm22371
chr1,Gm22383
chr1,Gm22396
chr1,Gm22419
chr1,Gm22426
chr1,Gm22434
chr1,Gm22438
chr1,Gm22446
chr1,Gm22463
chr1,Gm22489
chr1,Gm22548
chr1,Gm22549
chr1,Gm22569
chr1,Gm22607
chr1,Gm22609
chr1,Gm22610
chr1,Gm22616
chr1,Gm22633
chr1,Gm22665
chr1,Gm22671
chr1,Gm22679
chr1,Gm22681
chr1,Gm22693
chr1,Gm22710
chr1,Gm22727
chr1,Gm22756
chr1,Gm22786
chr1,Gm22796
chr1,Gm22906
chr1,Gm22917
chr1,Gm22950
chr1,Gm22955
chr1,Gm22963
chr1,Gm22966
chr1,Gm22992
chr1,Gm23024
chr1,Gm23032
chr1,Gm23036
chr1,Gm23056
chr1,Gm23126
chr1,Gm23153
chr1,Gm23169
chr1,Gm23181
chr1,Gm23189
chr1,Gm23208
chr1,Gm23212
chr1,Gm23216
chr1,Gm23240
chr1,Gm23259
chr1,Gm23274
chr1,Gm23349
chr1,Gm23358
chr1,Gm23370
chr1,Gm23389
chr1,Gm23393
chr1,Gm23402
chr1,Gm23409
chr1,Gm23422
chr1,Gm23434
chr1,Gm23436
chr1,Gm23448
chr1,Gm23453
chr1,Gm23460
chr1,Gm23472
chr1,Gm23497
chr1,Gm23504
chr1,Gm23523
chr1,Gm23528
chr1,Gm23534
chr1,Gm23535
chr1,Gm23537
chr1,Gm23583
chr1,Gm23599
chr1,Gm23602
chr1,Gm23623
chr1,Gm23672
chr1,Gm23690
chr1,Gm23722
chr1,Gm23734
chr1,Gm23744
chr1,Gm23762
chr1,Gm23763
chr1,Gm23771
chr1,Gm23780
chr1,Gm23782
chr1,Gm23785
chr1,Gm23792
chr1,Gm23805
chr1,Gm23821
chr1,Gm23829
chr1,Gm23879
chr1,Gm23885
chr1,Gm23902
chr1,Gm23934
chr1,Gm23939
chr1,Gm23943
chr1,Gm23965
chr1,Gm23966
chr1,Gm23974
chr1,Gm23984
chr1,Gm24001
chr1,Gm24014
chr1,Gm24030
chr1,Gm24053
chr1,Gm24064
chr1,Gm24075
chr1,Gm24086
chr1,Gm24092
chr1,Gm24122
chr1,Gm24133
chr1,Gm24148
chr1,Gm24160
chr1,Gm24162
chr1,Gm24171
chr1,Gm24173
chr1,Gm24176
chr1,Gm24180
chr1,Gm24182
chr1,Gm24251
chr1,Gm24267
chr1,Gm24273
chr1,Gm24276
chr1,Gm24349
chr1,Gm24402
chr1,Gm24405
chr1,Gm24465
chr1,Gm24489
chr1,Gm24497
chr1,Gm24513
chr1,Gm24517
chr1,Gm24545
chr1,Gm24547
chr1,Gm24548
chr1,Gm24553
chr1,Gm24555
chr1,Gm24557
chr1,Gm24586
chr1,Gm24633
chr1,Gm24637
chr1,Gm24674
chr1,Gm24719
chr1,Gm24723
chr1,Gm24729
chr1,Gm24732
chr1,Gm24748
chr1,Gm24765
chr1,Gm24788
chr1,Gm24791
chr1,Gm24802
chr1,Gm24808
chr1,Gm24817
chr1,Gm24826
chr1,Gm24836
chr1,Gm24871
chr1,Gm24901
chr1,Gm24919
chr1,Gm24937
chr1,Gm24940
chr1,Gm24942
chr1,Gm24988
chr1,Gm25003
chr1,Gm25035
chr1,Gm25095
chr1,Gm25096
chr1,Gm25151
chr1,Gm25166
chr1,Gm25168
chr1,Gm25180
chr1,Gm25198
chr1,Gm25227
chr1,Gm25235
chr1,Gm25240
chr1,Gm25253
chr1,Gm25269
chr1,Gm25279
chr1,Gm25288
chr1,Gm25293
chr1,Gm25294
chr1,Gm25312
chr1,Gm25322
chr1,Gm25329
chr1,Gm25336
chr1,Gm25360
chr1,Gm25384
chr1,Gm25395
chr1,Gm25411
chr1,Gm25413
chr1,Gm25457
chr1,Gm25460
chr1,Gm25472
chr1,Gm25488
chr1,Gm25491
chr1,Gm25493
chr1,Gm25502
chr1,Gm25524
chr1,Gm25537
chr1,Gm25542
chr1,Gm25549
chr1,Gm25560
chr1,Gm25568
chr1,Gm25578
chr1,Gm25586
chr1,Gm25588
chr1,Gm25609
chr1,Gm25612
chr1,Gm25619
chr1,Gm25634
chr1,Gm25663
chr1,Gm25708
chr1,Gm25717
chr1,Gm25736
chr1,Gm25748
chr1,Gm25754
chr1,Gm25771
chr1,Gm25789
chr1,Gm25792
chr1,Gm25814
chr1,Gm25829
chr1,Gm25832
chr1,Gm25839
chr1,Gm25843
chr1,Gm25911
chr1,Gm25939
chr1,Gm25974
chr1,Gm25993
chr1,Gm26004
chr1,Gm26034
chr1,Gm26037
chr1,Gm26042
chr1,Gm26048
chr1,Gm26077
chr1,Gm26078
chr1,Gm26080
chr1,Gm26104
chr1,Gm26110
chr1,Gm26134
chr1,Gm26145
chr1,Gm26169
chr1,Gm26187
chr1,Gm26203
chr1,Gm26206
chr1,Gm26214
chr1,Gm26224
chr1,Gm26245
chr1,Gm26263
chr1,Gm26271
chr1,Gm26273
chr1,Gm26280
chr1,Gm26287
chr1,Gm26293
chr1,Gm26342
chr1,Gm26345
chr1,Gm26348
chr1,Gm26352
chr1,Gm26412
chr1,Gm26418
chr1,Gm26446
chr1,Gm26457
chr1,Gm26472
chr1,Gm26509
chr1,Gm26523
chr1,Gm26568
chr1,Gm26574
chr1,Gm26580
chr1,Gm26598
chr1,Gm26607
chr1,Gm26620
chr1,Gm26641
chr1,Gm26642
chr1,Gm26649
chr1,Gm26665
chr1,Gm26670
chr1,Gm26683
chr1,Gm26685
chr1,Gm26686
chr1,Gm26706
chr1,Gm26720
chr1,Gm26781
chr1,Gm26783
chr1,Gm26788
chr1,Gm26801
chr1,Gm26805
chr1,Gm26813
chr1,Gm26831
chr1,Gm26866
chr1,Gm26879
chr1,Gm26892
chr1,Gm26901
chr1,Gm26936
chr1,Gm26979
chr1,Gm26983
chr1,Gm27028
chr1,Gm27184
chr1,Gm27264
chr1,Gm27315
chr1,Gm27330
chr1,Gm27362
chr1,Gm27390
chr1,Gm27396
chr1,Gm27430
chr1,Gm27458
chr1,Gm27507
chr1,Gm27512
chr1,Gm27552
chr1,Gm27607
chr1,Gm27616
chr1,Gm27648
chr1,Gm27669
chr1,Gm27745
chr1,Gm27785
chr1,Gm27844
chr1,Gm27881
chr1,Gm27907
chr1,Gm27934
chr1,Gm27940
chr1,Gm27943
chr1,Gm28040
chr1,Gmppa
chr1,Gorab
chr1,Gpa33
chr1,Gpatch2
chr1,Gpbar1
chr1,Gpc1
chr1,Gpr1
chr1,Gpr25
chr1,Gpr35
chr1,Gpr37l1
chr1,Gpr39
chr1,Gpr45
chr1,Gpr55
chr1,Gpr161
chr1,Grem2
chr1,Gsta3
chr1,Gtf3c3
chr1,Gulp1
chr1,H3f3a
chr1,H3f3aos
chr1,HNRNPU
chr1,Hdac4
chr1,Hdlbp
chr1,Hecw2
chr1,Hes6
chr1,Hhat
chr1,Hhipl2
chr1,Hibch
chr1,Hjurp
chr1,Hlx
chr1,Hmcn1
chr1,Hnrnpu
chr1,Hs6st1
chr1,Hsd11b1
chr1,Hsd17b7
chr1,Hsfy2
chr1,Hspd1
chr1,Hspe1
chr1,Htr2b
chr1,Htr5b
chr1,Iars2
chr1,Ica1l
chr1,Icos
chr1,Idh1
chr1,Ier5
chr1,Ifi202b
chr1,Ifi203
chr1,Ifi204
chr1,Ifi205
chr1,Igfbp2
chr1,Igfbp5
chr1,Igfn1
chr1,Igsf8
chr1,Igsf9
chr1,Ihh
chr1,Ikbke
chr1,Ikzf2
chr1,Il1r1
chr1,Il1r2
chr1,Il1rl1
chr1,Il1rl2
chr1,Il10
chr1,Il17a
chr1,Il17f
chr1,Il18r1
chr1,Il18rap
chr1,Il19
chr1,Il20
chr1,Il24
chr1,Ildr2
chr1,Ilkap
chr1,Imp4
chr1,Ing5
chr1,Inha
chr1,Inhbb
chr1,Ino80d
chr1,Ino80dos
chr1,Inpp1
chr1,Inpp4a
chr1,Inpp5d
chr1,Insig2
chr1,Ints7
chr1,Ipo9
chr1,Iqca
chr1,Irf6
chr1,Irs1
chr1,Itln1
chr1,Itm2c
chr1,Itpkb
chr1,Ivns1abp
chr1,Jph1
chr1,Kansl1l
chr1,Kansl3
chr1,Kcnb2
chr1,Kcne4
chr1,Kcnh1
chr1,Kcnj9
chr1,Kcnj10
chr1,Kcnj13
chr1,Kcnk2
chr1,Kcnq5
chr1,Kcnt2
chr1,Kctd3
chr1,Kctd18
chr1,Kdelc1
chr1,Kdm5b
chr1,Kdsr
chr1,Khdc1a
chr1,Khdc1b
chr1,Khdc1c
chr1,Khdrbs2
chr1,Kif1a
chr1,Kif14
chr1,Kif21b
chr1,Kif22-ps
chr1,Kif26b
chr1,Kifap3
chr1,Klf7
chr1,Klhdc8a
chr1,Klhdc9
chr1,Klhl12
chr1,Klhl20
chr1,Klhl30
chr1,Kmo
chr1,Krtap28-13
chr1,Lactb2
chr1,Lad1
chr1,Lamb3
chr1,Lamc1
chr1,Lamc2
chr1,Lancl1
chr1,Lax1
chr1,Lbr
chr1,Lct
chr1,Lefty1
chr1,Lefty2
chr1,Lemd1
chr1,Lgr6
chr1,Lgsn
chr1,Lhx4
chr1,Lhx9
chr1,Lin9
chr1,Lipt1
chr1,Lman2l
chr1,Lmbrd1
chr1,Lmod1
chr1,Lmx1a
chr1,Lonrf2
chr1,Lpgat1
chr1,Lrrc52
chr1,Lrrfip1
chr1,Lrrn2
chr1,Ly9
chr1,Ly96
chr1,Lyg1
chr1,Lyg2
chr1,Lypd1
chr1,Lypla1
chr1,Lyplal1
chr1,Mael
chr1,Map2
chr1,Map3k19
chr1,Map4k4
chr1,Mapkapk2
chr1,1-Mar
chr1,2-Mar
chr1,4-Mar
chr1,Marco
chr1,Mark1
chr1,Mars2
chr1,Mcm3
chr1,Mcm6
chr1,Mcmdc2
chr1,Mdh1b
chr1,Mdm4
chr1,Mettl11b
chr1,Mettl13
chr1,Mettl18
chr1,Mettl21a
chr1,Mettl21c
chr1,Mettl21e
chr1,Mff
chr1,Mfsd4
chr1,Mfsd6
chr1,Mfsd7b
chr1,Mfsd9
chr1,Mgat4a
chr1,Mgat5
chr1,Mgst3
chr1,Mia3
chr1,Mir26b
chr1,Mir29b-2
chr1,Mir29c
chr1,Mir30a
chr1,Mir30c-2
